strategy,scoring_rate,total_score,total_model_score
0_CoT,0.9682752457551386,2238.0,2167.0
1_SC,0.957700327673518,2238.0,2143.3333333333335
2_ToT,0.9706583258862079,2238.0,2172.3333333333335
3_GoT,0.9652963955913018,2238.0,2160.3333333333335
4_Auto-CoT,0.9657432231158772,2238.0,2161.3333333333335
5_KGR,0.969764670837057,2238.0,2170.3333333333335
6_ART,0.9721477509681263,2238.0,2175.6666666666665
7_ReAct,0.966934763181412,2238.0,2164.0
8_APE,0.9670837056896039,2238.0,2164.3333333333335
9_RAG,0.969764670837057,2238.0,2170.3333333333335
