strategy,scoring_rate,total_score,total_model_score
0_CoT,0.9670710125448029,2976.0,2878.0033333333336
1_SC,0.9675929659498208,2976.0,2879.556666666667
2_ToT,0.9669220430107527,2976.0,2877.56
3_GoT,0.9618436379928316,2976.0,2862.4466666666667
4_Auto-CoT,0.9618436379928316,2976.0,2862.4466666666667
5_KGR,0.9643066756272402,2976.0,2869.7766666666666
6_ART,0.9633378136200718,2976.0,2866.8933333333334
7_ReAct,0.9691621863799283,2976.0,2884.226666666667
8_APE,0.9586335125448029,2976.0,2852.8933333333334
9_RAG,0.9618436379928316,2976.0,2862.4466666666667
