strategy,scoring_rate,total_score,total_model_score
0_CoT,0.9553372745187206,1099.5,1050.3933333333334
1_SC,0.946493860845839,1099.5,1040.67
2_ToT,0.966090647263908,1099.5,1062.2166666666665
3_GoT,0.9509231468849477,1099.5,1045.54
4_Auto-CoT,0.9606912232833106,1099.5,1056.28
5_KGR,0.9492441812862783,1100.5,1044.6466666666665
6_ART,0.9546975898135517,1099.5,1049.6899999999998
7_ReAct,0.9574399165153403,1100.5,1053.6666666666667
8_APE,0.9610671517356374,1099.5,1056.6933333333334
9_RAG,0.9497559496740943,1099.5,1044.256666666667
