strategy,scoring_rate,total_score,total_model_score
0_CoT,0.9618360433604335,492.0,473.22333333333336
1_SC,0.9420731707317073,492.0,463.5
2_ToT,0.9261585365853658,492.0,455.67
3_GoT,0.9494173441734417,492.0,467.1133333333334
4_Auto-CoT,0.9564227642276423,492.0,470.56
5_KGR,0.956869918699187,492.0,470.78000000000003
6_ART,0.9534823848238482,492.0,469.1133333333334
7_ReAct,0.9460298102981031,492.0,465.4466666666667
8_APE,0.9369986449864497,492.0,461.00333333333333
9_RAG,0.941178861788618,492.0,463.06
