strategy,scoring_rate,total_score,total_model_score
0_CoT,0.9698522259325509,1859.6666666666667,1803.5566666666666
1_SC,0.9609255568929197,1860.3333333333333,1787.5566666666666
2_ToT,0.9675731466523066,1857.0,1796.7833333333335
3_GoT,0.9719727158499373,1857.0,1804.9533333333336
4_Auto-CoT,0.9673954406749239,1857.0,1796.4533333333336
5_KGR,0.9650601328307307,1857.0,1792.1166666666668
6_ART,0.9696966433315385,1857.0,1800.7266666666667
7_ReAct,0.9678118829653565,1857.0,1797.2266666666667
8_APE,0.964313408723748,1857.0,1790.7300000000002
9_RAG,0.9629635612995872,1857.0,1788.2233333333334
